NroSeq;NfDatEmis;NfNumero;NfForCod;MunNom;TraBairro;ItemNumSeq;ItemProCod;ProNom;ItemQtdade;ProVlrPreco;ProVlrPLiq;ProNomEmbEstoque
1;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;1;2915;F CEBOLA ROXA KG;0,610000014;13,89;1000;KG
2;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;2;7;F TOMATE PAULISTA KG;1,815000057;6,69;1000;KG
3;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;3;110;F CEBOLA NACIONAL KG;1,129999995;7,69;1000;KG
4;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;4;83;F ALFACE;1;2,99;100;UN
5;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;5;83;F ALFACE;1;2,99;100;UN
6;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;6;3093;DETERG LIQ LIMPOL CRISTAL 500ML;1;2,99;500;UN
7;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;7;3093;DETERG LIQ LIMPOL CRISTAL 500ML;1;2,99;500;UN
8;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;8;3093;DETERG LIQ LIMPOL CRISTAL 500ML;1;2,99;500;UN
9;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;9;6719;F RUCULA MOLHO;1;2,99;200;UN
10;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;10;83;F ALFACE;1;2,99;100;UN
11;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;11;6719;F RUCULA MOLHO;1;2,99;200;UN
12;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;12;83;F ALFACE;1;2,99;100;UN
13;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;13;6719;F RUCULA MOLHO;1;2,99;200;UN
14;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;14;13184;SACO LIXO REFORCADO 100LT C5;1;4,99;100;PCT
15;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;15;9472;SACO LIXO TRASH 200L 5 UND;1;6,79;50;PCT
16;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;16;17590;TOALHA BRUNS ROSTO LISTRADA 38X66CM;1;5,89;100;UN
17;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;17;24901;BOLSA BELMONDI NAO ALVEJADA 54X78;1;7,49;50;UN
18;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;18;36183;SABONETE LIQ HEDERA REFIL AVEIA 370ML;1;6,24;370;FRS
19;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;19;6692;F LIMAO TAITTI SOLTO KG;0,370000005;3,99;1000;KG
20;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;20;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
21;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;21;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
22;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;22;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
23;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;23;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
24;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;24;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
25;2024-01-02 00:00:00;630319;27458;FREDERICO WESTPHALEN;CENTRO;25;24805;OLEO SOJA COAMO PET 900ML;1;6,99;900;PT
26;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;2;6797;PAO CACETINHO KG;0,405999988;13,99;1000;KG
27;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;3;6683;F BANANA PRATA KG;0,569999993;5,99;1000;KG
28;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;4;6337;LENTILHA BELLA DICA PCT 400G;1;7,99;400;UN
29;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;5;54864;CREME LEITE CCGL UHT 17% GORDURA TP 200G;1;3,79;200;TP
30;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;6;26981;BACON CERATO CRAIOVAC KG;0,209999993;42,99;1000;KG
31;2024-01-02 00:00:00;630329;27458;FREDERICO WESTPHALEN;CENTRO;7;32013;MORTADELA SADIA TRAD MAIS FINAS DEFUMADA FAT 200G;1;7,95;200;PCT
32;2024-01-02 00:00:00;630371;26838;FREDERICO WESTPHALEN;IPIRANGA;1;8907;AGUA MIN SARANDI CGAS DESC 500ML;1;0,99;500;UN
33;2024-01-02 00:00:00;630380;38046;FREDERICO WESTPHALEN;CENTRO;1;8907;AGUA MIN SARANDI CGAS DESC 500ML;1;0,99;500;UN
34;2024-01-02 00:00:00;630380;38046;FREDERICO WESTPHALEN;CENTRO;2;1734;SANDUICHE CACETINHO KG;0,134000003;29,98;1000;KG
35;2024-01-02 00:00:00;630386;35513;FREDERICO WESTPHALEN;ITAPAGE;1;53376;SANDUICHE SALAME KG;0,118000001;33,98;1000;KG
36;2024-01-02 00:00:00;630411;36180;FREDERICO WESTPHALEN;ITAPAGE;1;55953;PANETTONE CASA DORO FRUTAS CAIXA 400G;1;9,98;400;UN
37;2024-01-02 00:00:00;630411;36180;FREDERICO WESTPHALEN;ITAPAGE;2;55953;PANETTONE CASA DORO FRUTAS CAIXA 400G;1;9,98;400;UN
38;2024-01-02 00:00:00;630486;36446;FREDERICO WESTPHALEN;SAO FRANCISCO DE PAULA;1;1734;SANDUICHE CACETINHO KG;0,136000007;29,98;1000;KG
